gen,best,mean,entropy,t,noise,alpha,stagn,accept_rate,succ_rand1,succ_current_pc,succ_current_rand
144,1.69693089805907e-05,5.086565319950966,0.1755707096849923,0.85,0.012841089429633941,0.24997878836382517,134,0.0,4,6,6
145,1.69693089805907e-05,3.9079079740348015,0.2332940433429786,0.834,0.00855072543795718,0.24997878836382517,135,0.0,4,6,6
146,1.69693089805907e-05,3.3204189172179053,0.19267325476153413,0.8331999999999999,0.008540724589491734,0.24997878836382517,136,0.0,4,6,6
147,1.69693089805907e-05,2.866046320350217,0.10654221886622194,0.85,0.012796085611539429,0.24997878836382517,137,0.0,4,6,6
148,1.6335060061818832e-05,3.1833867253895267,0.13494240956486497,0.85,0.012781084338841259,0.24997878836382517,0,0.0,4,6,6
149,1.6335060061818832e-05,1.827226755776182,0.15851700444785477,0.85,0.012766042585206128,0.24997958117496813,1,0.0,4,6,6
150,1.6335060061818832e-05,5.746560414177036,0.05687724178478765,0.85,0.012751041360076628,0.24997958117496813,2,0.0,4,6,6
151,1.6335060061818832e-05,3.0311840211785546,0.2291273766844286,0.7292,0.008490693423298083,0.24997958117496813,3,0.0,4,6,6
152,1.6335060061818832e-05,2.3923419349515145,0.23039395026393306,0.7284,0.008480692606545081,0.24997958117496813,4,0.0,4,6,6
153,1.6335060061818832e-05,4.544353772158557,0.16498360524055392,0.85,0.012706037684688122,0.24997958117496813,5,0.0,4,6,6
154,1.6335060061818832e-05,1.1955227613402457,0.20764021522668427,0.8268,0.00846069097303908,0.24997958117496813,6,0.0,4,6,6
155,1.6335060061818832e-05,5.733138889043024,0.06104390843759351,0.85,0.012676035234429115,0.24997958117496813,7,0.0,4,6,6
156,1.6335060061818832e-05,6.776074655393391,0.23039770498931586,0.8251999999999999,0.008440689339533076,0.24997958117496813,8,0.0,4,6,6
157,1.6335060061818832e-05,2.056870244225496,0.21838379595948565,0.8243999999999999,0.008430688522780075,0.24997958117496813,9,0.0,4,6,6
158,1.6335060061818832e-05,3.12766811064043,0.17541500278474662,0.85,0.012631031559040612,0.24997958117496813,10,0.0,4,6,6
159,1.6335060061818832e-05,4.313643509135988,0.14766104792329335,0.85,0.012616030333911107,0.24997958117496813,11,0.0,4,6,6
160,1.6335060061818832e-05,2.393476443032574,0.25798040533203076,0.822,0.008400686072521072,0.24997958117496813,12,0.0,4,6,6
161,1.6335060061818832e-05,4.585542168730515,0.09141127056376504,0.85,0.012586027883652104,0.24997958117496813,13,0.0,4,6,6
162,1.6335060061818832e-05,4.886650232794934,0.25974961274323893,0.8203999999999999,0.00838068443901507,0.24997958117496813,14,0.0,4,6,6
163,1.6335060061818832e-05,0.8158245342596644,0.23799893043964024,0.8195999999999999,0.008370683622262069,0.24997958117496813,15,0.0,4,6,6
164,1.6335060061818832e-05,4.9281717638267795,0.14200663545839093,0.85,0.012541024208263599,0.24997958117496813,16,0.0,4,6,6
165,1.6335060061818832e-05,4.060017571204222,0.23329404333508655,0.818,0.008350681988756065,0.24997958117496813,17,0.0,4,6,6
166,1.6335060061818832e-05,3.7937598807247213,0.1517730640582894,0.85,0.012511021758004597,0.24997958117496813,18,0.0,4,6,6
167,1.6335060061818832e-05,3.7446687481440075,0.17770629428272708,0.85,0.012496020532875095,0.24997958117496813,19,0.0,4,6,6
168,1.6335060061818832e-05,0.7421010682926283,0.12167316713476595,0.85,0.01248101930774559,0.24997958117496813,20,0.0,4,6,6
169,1.6335060061818832e-05,5.872213367074435,0.0305728992892565,0.85,0.012466018082616092,0.24997958117496813,21,0.0,4,6,6
170,1.6335060061818832e-05,2.1382144116841615,0.3317257863560442,0.8139999999999998,0.008300677904991059,0.24997958117496813,22,0.0,4,6,6
171,1.6335060061818832e-05,1.9070260175367475,0.12167316712274434,0.85,0.012436015632357088,0.24997958117496813,23,0.0,4,6,6
172,1.6335060061818832e-05,1.3598000541344504,0.17958166944880116,0.85,0.012421014407227586,0.24997958117496813,24,0.0,4,6,6
173,1.6335060061818832e-05,7.226964554671155,0.0762275895146262,0.85,0.012406013182098082,0.24997958117496813,25,0.0,4,6,6
