gen,best,mean,entropy,t,noise,alpha,stagn,accept_rate,succ_rand1,succ_current_pc,succ_current_rand
133,2.8591040646119836e-10,0.010699792612297162,0.17353962768301787,0.85,0.013005000018591326,0.249999999642612,113,0.0,4,6,4
134,2.8591040646119836e-10,0.09621707663681651,0.04580840392889275,0.85,0.01299000001856988,0.249999999642612,114,0.0,4,6,4
135,2.8591040646119836e-10,0.10555926998256185,0.2249607100594684,0.842,0.008650000012365626,0.249999999642612,115,0.0,4,6,4
136,2.8591040646119836e-10,0.07784425199237287,0.30532471246720494,0.8412,0.00864000001235133,0.249999999642612,116,0.0,4,6,4
137,2.8591040646119836e-10,0.040821533706388725,0.2100504626908508,0.8403999999999999,0.008630000012337035,0.249999999642612,117,0.0,4,6,4
138,2.8591040646119836e-10,0.03447893622322332,0.15851700450789988,0.85,0.012930000018484109,0.249999999642612,118,0.0,4,6,4
139,2.8591040646119836e-10,0.02196775271635968,0.15182771464906433,0.85,0.012915000018462663,0.249999999642612,119,0.0,4,6,4
140,2.8591040646119836e-10,0.07837701258254931,0.15851700451048822,0.85,0.01290000001844122,0.249999999642612,120,0.0,4,6,4
141,2.8591040646119836e-10,0.07307865845397314,0.2916739680355975,0.8371999999999999,0.008590000012279853,0.249999999642612,121,0.0,4,6,4
142,2.8591040646119836e-10,0.015052811267775438,0.2678864209995992,0.8363999999999999,0.008580000012265557,0.249999999642612,122,0.0,4,6,4
143,2.8591040646119836e-10,0.06587709776431899,0.030572899325134528,0.85,0.01285500001837689,0.249999999642612,123,0.0,4,6,4
144,2.8591040646119836e-10,0.029093490930219273,0.24814648693096172,0.8347999999999999,0.008560000012236965,0.249999999642612,124,0.0,4,6,4
145,2.8591040646119836e-10,0.07812862967354203,0.10654221890363093,0.85,0.012825000018334004,0.249999999642612,125,0.0,4,6,4
146,2.8591040646119836e-10,0.06002482670341094,0.27845314418051426,0.8331999999999999,0.008540000012208376,0.249999999642612,126,0.0,4,6,4
147,2.8591040646119836e-10,0.048753915952209466,0.19925016885118904,0.8323999999999999,0.008530000012194078,0.249999999642612,127,0.0,4,6,4
